"Points:0","Points:1","Points:2","alpha.water"
2,0.30013,0.005,0.25
2,0.30012,0.005,0.25
2,0.30011,0.005,0.25
2,0.3001,0.005,0.25
2,0.30009,0.005,0.25
2,0.30008,0.005,0.25
2,0.30006,0.005,0.25
2,0.30005,0.005,0.25
2,0.30004,0.005,0.25
2,0.30002,0.005,0.25
2,0.30001,0.005,0.25
2,0.3,0.005,0.25
2,0.29999,0.005,0.25
2,0.29998,0.005,0.25
2,0.29998,0.005,0.25
2,0.29997,0.005,0.25
2,0.29996,0.005,0.25
2,0.29995,0.005,0.25
2,0.29995,0.005,0.25
2,0.29994,0.005,0.25
2,0.29993,0.005,0.25
2,0.29992,0.005,0.25
2,0.29992,0.005,0.25
2,0.29991,0.005,0.25
2,0.29991,0.005,0.25
2,0.2999,0.005,0.25
2,0.2999,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.29989,0.005,0.25
2,0.2999,0.005,0.25
2,0.2999,0.005,0.25
2,0.29991,0.005,0.25
2,0.29992,0.005,0.25
2,0.29993,0.005,0.25
2,0.29994,0.005,0.25
2,0.29995,0.005,0.25
2,0.29996,0.005,0.25
2,0.29997,0.005,0.25
2,0.29998,0.005,0.25
2,0.29999,0.005,0.25
2,0.30001,0.005,0.25
2,0.30003,0.005,0.25
2,0.30006,0.005,0.25
2,0.30009,0.005,0.25
2,0.30012,0.005,0.25
2,0.30015,0.005,0.25
2,0.30018,0.005,0.25
2,0.30021,0.005,0.25
2,0.30025,0.005,0.25
2,0.30028,0.005,0.25
2,0.30032,0.005,0.25
2,0.30035,0.005,0.25
2,0.30038,0.005,0.25
2,0.30042,0.005,0.25
2,0.30045,0.005,0.25
2,0.30048,0.005,0.25
2,0.30052,0.005,0.25
2,0.30055,0.005,0.25
2,0.30058,0.005,0.25
2,0.30061,0.005,0.25
2,0.30064,0.005,0.25
2,0.30067,0.005,0.25
2,0.30069,0.005,0.25
2,0.30072,0.005,0.25
2,0.30074,0.005,0.25
2,0.30076,0.005,0.25
2,0.30078,0.005,0.25
2,0.3008,0.005,0.25
2,0.30081,0.005,0.25
2,0.30083,0.005,0.25
2,0.30084,0.005,0.25
2,0.30085,0.005,0.25
2,0.30085,0.005,0.25
2,0.30086,0.005,0.25
2,0.30086,0.005,0.25
2,0.30085,0.005,0.25
2,0.30085,0.005,0.25
2,0.30084,0.005,0.25
2,0.30082,0.005,0.25
2,0.30081,0.005,0.25
2,0.30079,0.005,0.25
2,0.30076,0.005,0.25
2,0.30074,0.005,0.25
2,0.30071,0.005,0.25
2,0.30068,0.005,0.25
2,0.30064,0.005,0.25
2,0.3006,0.005,0.25
2,0.30056,0.005,0.25
2,0.30052,0.005,0.25
2,0.30048,0.005,0.25
2,0.30043,0.005,0.25
2,0.30038,0.005,0.25
2,0.30033,0.005,0.25
2,0.30027,0.005,0.25
2,0.30022,0.005,0.25
2,0.30016,0.005,0.25
2,0.3001,0.005,0.25
2,0.30005,0.005,0.25
2,0.3,0.005,0.25
2,0.29997,0.005,0.25
2,0.29994,0.005,0.25
2,0.29991,0.005,0.25
2,0.29987,0.005,0.25
2,0.29984,0.005,0.25
2,0.29981,0.005,0.25
2,0.29978,0.005,0.25
2,0.29975,0.005,0.25
2,0.29972,0.005,0.25
2,0.2997,0.005,0.25
2,0.29968,0.005,0.25
2,0.29966,0.005,0.25
2,0.29965,0.005,0.25
2,0.29964,0.005,0.25
2,0.29964,0.005,0.25
2,0.29964,0.005,0.25
2,0.29965,0.005,0.25
2,0.29966,0.005,0.25
2,0.29968,0.005,0.25
2,0.2997,0.005,0.25
2,0.29973,0.005,0.25
2,0.29976,0.005,0.25
2,0.29979,0.005,0.25
2,0.29983,0.005,0.25
2,0.29987,0.005,0.25
