"Points:0","Points:1","Points:2","alpha.water"
2.151,0.30108,0.005,0.25
2.151,0.30108,0.005,0.25
2.151,0.30109,0.005,0.25
2.151,0.3011,0.005,0.25
2.151,0.3011,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.30112,0.005,0.25
2.151,0.30112,0.005,0.25
2.151,0.30113,0.005,0.25
2.151,0.30113,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30115,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30113,0.005,0.25
2.151,0.30113,0.005,0.25
2.151,0.30112,0.005,0.25
2.151,0.30112,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.3011,0.005,0.25
2.151,0.30109,0.005,0.25
2.151,0.30109,0.005,0.25
2.151,0.30108,0.005,0.25
2.151,0.30107,0.005,0.25
2.151,0.30106,0.005,0.25
2.151,0.30105,0.005,0.25
2.151,0.30103,0.005,0.25
2.151,0.30102,0.005,0.25
2.151,0.30101,0.005,0.25
2.151,0.301,0.005,0.25
2.151,0.30099,0.005,0.25
2.151,0.30097,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30094,0.005,0.25
2.151,0.30093,0.005,0.25
2.151,0.30093,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30091,0.005,0.25
2.151,0.3009,0.005,0.25
2.151,0.3009,0.005,0.25
2.151,0.30089,0.005,0.25
2.151,0.30088,0.005,0.25
2.151,0.30087,0.005,0.25
2.151,0.30087,0.005,0.25
2.151,0.30086,0.005,0.25
2.151,0.30085,0.005,0.25
2.151,0.30085,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30083,0.005,0.25
2.151,0.30083,0.005,0.25
2.151,0.30083,0.005,0.25
2.151,0.30083,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30084,0.005,0.25
2.151,0.30085,0.005,0.25
2.151,0.30085,0.005,0.25
2.151,0.30086,0.005,0.25
2.151,0.30087,0.005,0.25
2.151,0.30088,0.005,0.25
2.151,0.30089,0.005,0.25
2.151,0.3009,0.005,0.25
2.151,0.30091,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30093,0.005,0.25
2.151,0.30095,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30098,0.005,0.25
2.151,0.301,0.005,0.25
2.151,0.30103,0.005,0.25
2.151,0.30106,0.005,0.25
2.151,0.30109,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30117,0.005,0.25
2.151,0.3012,0.005,0.25
2.151,0.30124,0.005,0.25
2.151,0.30127,0.005,0.25
2.151,0.3013,0.005,0.25
2.151,0.30133,0.005,0.25
2.151,0.30136,0.005,0.25
2.151,0.30139,0.005,0.25
2.151,0.30141,0.005,0.25
2.151,0.30144,0.005,0.25
2.151,0.30147,0.005,0.25
2.151,0.3015,0.005,0.25
2.151,0.30152,0.005,0.25
2.151,0.30155,0.005,0.25
2.151,0.30157,0.005,0.25
2.151,0.3016,0.005,0.25
2.151,0.30162,0.005,0.25
2.151,0.30164,0.005,0.25
2.151,0.30165,0.005,0.25
2.151,0.30167,0.005,0.25
2.151,0.30168,0.005,0.25
2.151,0.30169,0.005,0.25
2.151,0.3017,0.005,0.25
2.151,0.30171,0.005,0.25
2.151,0.30171,0.005,0.25
2.151,0.30171,0.005,0.25
2.151,0.30171,0.005,0.25
2.151,0.3017,0.005,0.25
2.151,0.30169,0.005,0.25
2.151,0.30168,0.005,0.25
2.151,0.30167,0.005,0.25
2.151,0.30165,0.005,0.25
2.151,0.30164,0.005,0.25
2.151,0.30162,0.005,0.25
2.151,0.30159,0.005,0.25
2.151,0.30156,0.005,0.25
2.151,0.30154,0.005,0.25
2.151,0.3015,0.005,0.25
2.151,0.30147,0.005,0.25
2.151,0.30143,0.005,0.25
2.151,0.30139,0.005,0.25
2.151,0.30135,0.005,0.25
2.151,0.30131,0.005,0.25
2.151,0.30126,0.005,0.25
2.151,0.30122,0.005,0.25
2.151,0.30117,0.005,0.25
2.151,0.30112,0.005,0.25
2.151,0.30107,0.005,0.25
2.151,0.30102,0.005,0.25
2.151,0.30097,0.005,0.25
2.151,0.30094,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30089,0.005,0.25
2.151,0.30086,0.005,0.25
2.151,0.30083,0.005,0.25
2.151,0.3008,0.005,0.25
2.151,0.30077,0.005,0.25
2.151,0.30074,0.005,0.25
2.151,0.30072,0.005,0.25
2.151,0.30069,0.005,0.25
2.151,0.30067,0.005,0.25
2.151,0.30064,0.005,0.25
2.151,0.30063,0.005,0.25
2.151,0.30061,0.005,0.25
2.151,0.3006,0.005,0.25
2.151,0.3006,0.005,0.25
2.151,0.3006,0.005,0.25
2.151,0.3006,0.005,0.25
2.151,0.30061,0.005,0.25
2.151,0.30063,0.005,0.25
2.151,0.30065,0.005,0.25
2.151,0.30068,0.005,0.25
2.151,0.30071,0.005,0.25
2.151,0.30074,0.005,0.25
2.151,0.30077,0.005,0.25
2.151,0.30081,0.005,0.25
2.151,0.30085,0.005,0.25
2.151,0.30088,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30096,0.005,0.25
2.151,0.30103,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.30119,0.005,0.25
2.151,0.30128,0.005,0.25
2.151,0.30136,0.005,0.25
2.151,0.30145,0.005,0.25
2.151,0.30154,0.005,0.25
2.151,0.30164,0.005,0.25
2.151,0.30173,0.005,0.25
2.151,0.30182,0.005,0.25
2.151,0.30191,0.005,0.25
2.151,0.30205,0.005,0.25
2.151,0.3022,0.005,0.25
2.151,0.30233,0.005,0.25
2.151,0.30244,0.005,0.25
2.151,0.30253,0.005,0.25
